gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000065556,darkgrey,darkgrey,1.0,Mir101b,miRNA
ENSMUSG00000065594,darkgrey,darkgrey,1.0,Mir107,miRNA
ENSMUSG00000099118,darkgrey,darkgrey,1.0,Mir8092,miRNA
ENSMUSG00000093315,darkgrey,darkgrey,1.0,Mir5114,miRNA
ENSMUSG00000098786,darkgrey,darkgrey,1.0,Mir6995,miRNA
ENSMUSG00000093757,darkgrey,darkgrey,1.0,Mir5623,miRNA
ENSMUSG00000092813,darkgrey,darkgrey,1.0,Mir3086,miRNA
ENSMUSG00000080645,darkgrey,darkgrey,1.0,Mir1198,miRNA
ENSMUSG00000093408,darkgrey,darkgrey,1.0,Mir5617,miRNA
ENSMUSG00000092794,darkgrey,darkgrey,1.0,Mir3110,miRNA
ENSMUSG00000070106,darkgrey,darkgrey,1.0,Mir363,miRNA
ENSMUSG00000065613,darkgrey,darkgrey,1.0,Mir92-2,miRNA
ENSMUSG00000065473,darkgrey,darkgrey,1.0,Mir19b-2,miRNA
ENSMUSG00000076041,darkgrey,darkgrey,1.0,Mir20b,miRNA
ENSMUSG00000077111,darkgrey,darkgrey,1.0,Mir18b,miRNA
ENSMUSG00000065456,darkgrey,darkgrey,1.0,Mir106a,miRNA
ENSMUSG00000076122,darkgrey,darkgrey,1.0,Mir503,miRNA
ENSMUSG00000065418,darkgrey,darkgrey,1.0,Mir322,miRNA
ENSMUSG00000092787,darkgrey,darkgrey,1.0,Mir5116,miRNA
ENSMUSG00000070081,darkgrey,darkgrey,1.0,Mir505,miRNA
ENSMUSG00000077127,darkgrey,darkgrey,1.0,Mir743,miRNA
ENSMUSG00000078017,darkgrey,darkgrey,1.0,Mir883a,miRNA
ENSMUSG00000077119,darkgrey,darkgrey,1.0,Mir741,miRNA
ENSMUSG00000078002,darkgrey,darkgrey,1.0,Mir880,miRNA
ENSMUSG00000078038,darkgrey,darkgrey,1.0,Mir881,miRNA
ENSMUSG00000070071,darkgrey,darkgrey,1.0,Mir465,miRNA
ENSMUSG00000070138,darkgrey,darkgrey,1.0,Mir452,miRNA
ENSMUSG00000089357,darkgrey,darkgrey,1.0,Mir2137,miRNA
ENSMUSG00000065509,darkgrey,darkgrey,1.0,Mir421,miRNA
ENSMUSG00000065499,darkgrey,darkgrey,1.0,Mir384,miRNA
ENSMUSG00000065425,darkgrey,darkgrey,1.0,Mir325,miRNA
ENSMUSG00000065510,darkgrey,darkgrey,1.0,Mir361,miRNA
ENSMUSG00000093172,darkgrey,darkgrey,1.0,Mir3112,miRNA
ENSMUSG00000093102,darkgrey,darkgrey,1.0,Mir3475,miRNA
ENSMUSG00000076011,darkgrey,darkgrey,1.0,Mir652,miRNA
ENSMUSG00000080331,darkgrey,darkgrey,1.0,Mir1298,miRNA
ENSMUSG00000065450,darkgrey,darkgrey,1.0,Mir448,miRNA
